,Describing Sets Using Set-Builder Notation,Describing Planar Regions Using Set-Builder Notation,Cardinality of Finite Sets,The Difference of Sets,The Cartesian Product,The Vector Equation of a Line,The Parametric Equations of a Line,The Cartesian Equation of a Line,The Vector Equation of a Plane,The Cartesian Equation of a Plane,The Parametric Equations of a Plane,The Intersection of Two Planes,The Intersection Between a Line and a Plane,Cramer's Rule for 2x2 Systems of Linear Equations,The Determinant of an NxN Matrix,Finding Determinants Using Laplace Expansions,Basic Properties of Determinants,Row and Column Operations on Determinants,Conditions When a Determinant Equals Zero,Finding Determinants Using Row and Column Operations,Partitioned and Block Matrices,Systems of Equations as Augmented Matrices,Row Echelon Form,Solving Systems of Equations Using Back Substitution,Elementary Row Operations,Solving 2x2 Systems of Equations Using Gaussian Elimination,Solving 2x2 Singular Systems of Equations Using Gaussian Elimination,Solving 3x3 Systems of Equations Using Gaussian Elimination,Identifying the Pivot Columns of a Matrix,Solving 3x3 Singular Systems of Equations Using Gaussian Elimination,Reduced Row Echelon Form,Elementary 2x2 Matrices,Row Operations on 2x2 Matrices as Products of Elementary Matrices,Elementary 3x3 Matrices,Row Operations on 3x3 Matrices as Products of Elementary Matrices,The Invertible Matrix Theorem in Terms of 2x2 Systems of Equations,Finding the Inverse of a 2x2 Matrix Using Row Operations,Finding the Inverse of a 3x3 Matrix Using Row Operations,Finding the Inverse of an NxN Square Matrix Using Row Operations,Matrices With Easy-to-Find Inverses,Vectors in N-Dimensional Euclidean Space,Linear Combinations of Vectors in N-Dimensional Euclidean Space,Linear Span of Vectors in N-Dimensional Euclidean Space,Linear Dependence and Independence,Subspaces of N-Dimensional Space,The Column Space of a Matrix,The Null Space of a Matrix,Expressing the Coordinates of a Vector in a Given Basis,Writing Vectors in Different Bases,The Change-of-Coordinates Matrix,Changing a Basis Using the Change-of-Coordinates Matrix,The Rank of a Matrix,"The Invertible Matrix Theorem in Terms of Dimension, Rank and Nullity",The Rank-Nullity Theorem,The Standard Matrix of a Linear Transformation in Terms of the Standard Basis,The Image of a Linear Transformation in the Cartesian Plane,The Eigenvalues and Eigenvectors of a 2x2 Matrix,Calculating the Eigenvalues of a 2x2 Matrix,Calculating the Eigenvectors of a 2x2 Matrix,The Characteristic Equation of a Matrix,The Cayley-Hamilton Theorem and Its Applications,Calculating the Eigenvectors of a 3x3 Matrix in the General Case,The Invertible Matrix Theorem in Terms of Eigenvalues,Diagonalizing a 2x2 Matrix,Properties of Diagonalization,Vectors Over the Complex Numbers,Matrices Over the Complex Numbers,Rotation-Scaling Matrices,Reducing Real 2x2 Matrices to Rotation-Scaling Form,Block Diagonalization of NxN Matrices,Nilpotent and Idempotent Matrices,Generalized Eigenvectors,The Dot Product in N-Dimensional Euclidean Space,The Norm of a Vector in N-Dimensional Euclidean Space,The Norm of a Vector in Inner Product Spaces,Orthogonal Vectors in Euclidean Spaces,The Cauchy-Schwarz Inequality and the Angle Between Two Vectors,The Pythagorean Theorem and the Triangle Inequality,Orthogonal Complements,Orthogonal Sets in Euclidean Spaces,Orthogonal Matrices,Orthogonal Linear Transformations,Projecting Vectors Onto One-Dimensional Subspaces,The Components of a Vector with Respect to an Orthogonal or Orthonormal Basis,Projecting Vectors Onto Subspaces in Euclidean Spaces (Orthogonal Bases),Projecting Vectors Onto Subspaces in Euclidean Spaces (Arbitrary Bases),"Projection Matrices, Linear Transformations and Their Properties",Quadratic Forms,Change of Variables in Quadratic Forms,Constrained Optimization of Quadratic Forms,Constrained Optimization of Quadratic Forms: Determining Where Extrema are Attained
Describing Sets Using Set-Builder Notation,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Describing Planar Regions Using Set-Builder Notation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardinality of Finite Sets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Difference of Sets,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cartesian Product,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Vector Equation of a Line,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Parametric Equations of a Line,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cartesian Equation of a Line,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Vector Equation of a Plane,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cartesian Equation of a Plane,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
